initial_maturity,time_in_minute,temperature,humidity,current_maturity
85,4320,26.59113433,56.9465115,85
85,4340,26.70960162,56.52387829,85
85,4360,26.75301705,56.86792106,85
85,4380,26.79177851,56.62887926,85
85,4400,26.86389932,56.7654578,85
85,4420,26.95615139,57.11974901,85
85,4440,27.05457627,56.81697277,85
85,4460,27.22889908,56.74099558,85
85,4480,27.29755187,57.14777243,85
85,4500,27.38486663,57.69352418,85
85,4520,27.50253629,57.89438784,85
85,4540,27.58973114,58.62211047,85
85,4560,27.67300232,59.06753313,85
85,4580,27.73771237,59.22605901,85
85,4600,27.77263705,59.26325178,85
85,4620,27.8110205,59.20244236,85
85,4640,27.86659588,58.98637062,85
85,4660,27.89805969,58.44424843,85
85,4680,27.83829489,58.36688536,85
85,4700,27.82079061,58.12071502,85
85,4720,27.8299663,57.86163212,85
85,4740,27.8087013,57.51189829,85
85,4760,27.7675072,57.47550666,85
85,4780,27.7413522,57.16029583,85
85,4800,27.69509278,56.85864947,85
85,4820,27.66578005,57.11644886,85
85,4840,27.66265123,57.68546094,85
85,4860,27.67766106,57.19662327,85
85,4880,27.66243806,57.116826,85
85,4900,27.62913021,56.79450626,85
85,4920,27.60009865,57.49854706,85
85,4940,27.59876247,57.64726961,85
85,4960,27.59217593,57.85901084,85
85,4980,27.57795774,57.71644618,85
85,5000,27.55670085,57.83144176,85
85,5020,27.56025454,57.84708098,85
85,5040,27.53940206,58.17451274,85
85,5060,27.5379717,58.30844029,85
85,5080,27.45165794,59.60320477,85
85,5100,27.48901268,59.35704919,85
85,5120,27.48349571,59.32725481,85
85,5140,27.4863508,59.37341272,85
85,5160,27.51105126,59.48906978,85
85,5180,27.49543067,59.31792656,85
85,5200,27.48627752,59.25037947,85
85,5220,27.65389151,58.52688012,85
85,5240,27.65845178,58.59482194,85
85,5260,27.6194531,58.50309312,85
85,5280,27.56508922,58.66279582,85
85,5300,27.54636071,58.5636506,85
85,5320,27.46829526,58.73710173,85
85,5340,27.30941447,58.60590793,85
85,5360,27.21005281,58.84010919,85
85,5380,27.14428984,58.76129314,85
85,5400,27.09851878,58.663515,85
85,5420,27.06321654,58.54648983,85
85,5440,27.02695671,57.6266196,85
85,5460,26.95582419,57.60720211,85
85,5480,26.91194632,57.85530453,85
85,5500,26.88084737,58.07498797,85
85,5520,26.8674221,57.63872586,85
85,5540,26.84335794,57.50340048,85
85,5560,26.81613873,57.52850277,85
85,5580,26.81224925,57.66868481,85
85,5600,26.80005514,58.85863504,85
85,5620,26.8119937,59.34298864,85
85,5640,26.82216858,59.03330906,85
85,5660,26.7636863,58.14877802,85
